iter	Passed	Remaining
0	3	324
1	7	382
2	11	363
3	13	327
4	16	313
5	21	330
6	26	346
7	29	337
8	33	336
9	36	326
10	38	312
11	40	300
12	43	292
13	46	286
14	49	279
15	53	278
16	55	273
17	58	265
18	61	262
19	64	257
20	67	254
21	71	254
22	75	254
23	79	253
24	82	247
25	86	245
26	89	241
27	92	237
28	95	232
29	97	228
30	101	224
31	103	220
32	106	215
33	108	210
34	111	206
35	113	202
36	118	201
37	120	197
38	123	192
39	125	188
40	127	183
41	128	177
42	131	174
43	133	170
44	136	167
45	139	163
46	142	160
47	145	157
48	149	155
49	151	151
50	154	148
51	157	144
52	159	141
53	162	138
54	164	134
55	165	130
56	167	126
57	169	122
58	171	119
59	174	116
60	175	112
61	177	108
62	179	105
63	181	102
64	183	98
65	185	95
66	188	92
67	190	89
68	192	86
69	194	83
70	195	80
71	197	76
72	200	74
73	202	71
74	204	68
75	206	65
76	208	62
77	210	59
78	212	56
79	215	53
80	217	51
81	220	48
82	222	45
83	225	42
84	227	40
85	230	37
86	234	35
87	237	32
88	239	29
89	242	26
90	244	24
91	246	21
92	249	18
93	251	16
94	252	13
95	255	10
96	258	7
97	260	5
98	262	2
99	265	0
